Epochs,Train 1pit_multi_loss,Val 1pit_multi_loss,Train si_sdr,Train accuracy_metric,Train probnorm_acc_metric,Val si_sdr,Val accuracy_metric,Val probnorm_acc_metric
60,0.003868236473761499,0.005819416015408933,17.667510564804076,100.0,1.0,15.09371474456787,99.875,0.9987571427226066
61,0.003860821814276278,0.00584247035253793,17.68770756149292,99.99375,0.9999378571361304,15.133189182281495,99.775,0.997762856900692
62,0.003848974343156442,0.005775857960805297,17.708074432373046,100.0,1.0,15.182758026123047,99.85,0.998508571267128
63,0.0038350881908554586,0.005716740197502077,17.726288354873656,99.99375,0.9999378571361304,15.287092319488526,99.8,0.9980114283561706
64,0.0038283381015062332,0.005748800209723413,17.739059940338134,99.99375,0.9999378571361304,15.240532398223877,99.775,0.997762856900692
65,0.00382503600907512,0.005735151041299105,17.75180757522583,100.0,1.0,15.23892730331421,99.825,0.9982599998116494
66,0.0038179317782633007,0.005811045399866998,17.760660634040832,99.99375,0.9999378571361304,15.149654003143311,99.775,0.997762856900692
67,0.003807500685332343,0.005800474759191275,17.779486346244813,100.0,1.0,15.211049278259278,99.75,0.9975142854452134
68,0.0037967253415845336,0.00580004654545337,17.801426060676576,100.0,1.0,15.176468070983887,99.825,0.9982599998116494
69,0.0038003363502211868,0.005800178281962872,17.796185273170472,100.0,1.0,15.172906131744385,99.8,0.9980114283561706
70,0.0037836982645094394,0.005816093035973608,17.826645071029663,100.0,1.0,15.139070011138916,99.8,0.9980114283561706
71,0.0037791052700486033,0.005704100120812654,17.836803033828737,100.0,1.0,15.29372487640381,99.875,0.9987571427226066
72,0.0037709886115044355,0.005709606300108134,17.852953239440918,100.0,1.0,15.291405879974365,99.8,0.9980114283561706
73,0.0037601833716034887,0.005789779232814908,17.867785327911378,100.0,1.0,15.156847721099853,99.825,0.9982599998116494
74,0.0037576340502128006,0.0057619251357391476,17.878911856651307,100.0,1.0,15.178756240844727,99.825,0.9982599998116494
75,0.003754280422348529,0.0057940272595733405,17.882415369033815,99.99375,0.9999378571361304,15.190183929443359,99.725,0.9972657139897346
76,0.003753506564069539,0.005637319690547884,17.88785062599182,100.0,1.0,15.371008769989015,99.85,0.998508571267128
77,0.003745925892610103,0.005715732528828085,17.904500206947326,99.99375,0.9999378571361304,15.280325664520264,99.7,0.997017142534256
78,0.003745275794994086,0.005737679778598249,17.90547503185272,100.0,1.0,15.217389404296876,99.775,0.997762856900692
79,0.003729521052679047,0.0057564239455386995,17.933778272628786,100.0,1.0,15.22913893508911,99.725,0.9972657139897346
80,0.0037281193260569126,0.005655492432415485,17.939808438301085,100.0,1.0,15.326410926818848,99.85,0.998508571267128
81,0.003717426415299997,0.0057582885548472405,17.953987904548644,99.99375,0.9999378571361304,15.216897846221924,99.725,0.9972657139897346
82,0.003708344902144745,0.005647733254358173,17.96860523891449,100.0,1.0,15.360678730010987,99.725,0.9972657139897346
83,0.003756805444601923,0.005728431295603514,17.889333651542664,99.975,0.9997514285445214,15.27570853805542,99.7,0.997017142534256
84,0.003703432362060994,0.005603215069510043,17.978879329681398,100.0,1.0,15.369318969726562,99.85,0.998508571267128
85,0.0037026405006181447,0.005701354324817658,17.99007903289795,100.0,1.0,15.318501457214355,99.725,0.9972657139897346
86,0.0036971971194725483,0.005593054191209376,17.995852813720703,100.0,1.0,15.413451469421387,99.775,0.997762856900692
87,0.003687466687755659,0.005604675253853202,18.012897320747374,100.0,1.0,15.39922163772583,99.75,0.9975142854452134
88,0.0036869773159269245,0.005644832352176309,18.016454139709474,100.0,1.0,15.348545665740966,99.75,0.9975142854452134
89,0.003671368632465601,0.005616805884055793,18.04274737071991,100.0,1.0,15.373840175628661,99.85,0.998508571267128
90,0.0036789486256893723,0.005644782754592598,18.032121086120604,100.0,1.0,15.36778193283081,99.775,0.997762856900692
91,0.003672419834882021,0.005604315393604338,18.049942534446718,100.0,1.0,15.351954402923583,99.875,0.9987571427226066
92,0.003660661954432726,0.005617932946421206,18.061124241828917,99.99375,0.9999378571361304,15.339593585968018,99.775,0.997762856900692
93,0.0036555377335753293,0.005674933089874685,18.073764390945435,100.0,1.0,15.3075657081604,99.8,0.9980114283561706
94,0.0036502629613969473,0.00558067658636719,18.08187277793884,100.0,1.0,15.428461250305176,99.825,0.9982599998116494
95,0.0036514984692912547,0.00564108398091048,18.08561696910858,100.0,1.0,15.29152449798584,99.8,0.9980114283561706
96,0.0036521655439864845,0.0056635013464838265,18.083935224533082,100.0,1.0,15.317197952270508,99.8,0.9980114283561706
97,0.0036383386543020605,0.005595953424461186,18.106229930877685,100.0,1.0,15.3874125289917,99.875,0.9987571427226066
98,0.0036416360158473254,0.0056326613817363974,18.10762094306946,100.0,1.0,15.37269665145874,99.775,0.997762856900692
99,0.0036396899111568928,0.005595941917039454,18.109607110977173,100.0,1.0,15.374718036651611,99.85,0.998508571267128
100,0.003629110244801268,0.005522164064459502,18.124161197662353,100.0,1.0,15.49510873413086,99.9,0.9990057141780854
